Node,nxc,nyc,Node_new
1791,11.865,54.935,641
1792,11.955,54.935,642
1793,12.045,54.935,643
1794,12.135,54.935,644
1797,12.405000000000001,54.935,645
1798,12.495000000000001,54.935,646
1799,12.585,54.935,647
1800,12.675,54.935,648
1801,12.765,54.935,649
1802,12.855,54.935,650
1803,12.945,54.935,651
1804,13.035,54.935,652
1805,13.125,54.935,653
1806,13.215,54.935,654
1807,13.305,54.935,655
1808,13.395,54.935,656
1809,13.485,54.935,657
1810,13.575,54.935,658
1811,13.665,54.935,659
1812,13.754999999999999,54.935,660
1813,13.844999999999999,54.935,661
1814,13.934999999999999,54.935,662
1815,14.024999999999999,54.935,663
1816,14.114999999999998,54.935,664
1817,14.205,54.935,665
1818,14.295,54.935,666
1819,14.385,54.935,667
1820,14.475,54.935,668
1821,14.565,54.935,669
1822,14.655,54.935,670
1823,14.745000000000001,54.935,671
1824,14.835,54.935,672
1825,14.925,54.935,673
1826,7.545,55.025,674
1827,7.635,55.025,675
1828,7.725,55.025,676
1829,7.815,55.025,677
1830,7.905,55.025,678
1831,7.995,55.025,679
1832,8.085,55.025,680
1833,8.175,55.025,681
1834,8.265,55.025,682
1847,9.435,55.025,683
1848,9.525,55.025,684
1849,9.615,55.025,685
1850,9.705,55.025,686
1851,9.795,55.025,687
1852,9.885,55.025,688
1853,9.975,55.025,689
1854,10.065,55.025,690
1855,10.155,55.025,691
1856,10.245000000000001,55.025,692
1857,10.335,55.025,693
1858,10.425,55.025,694
1859,10.515,55.025,695
1860,10.605,55.025,696
1861,10.695,55.025,697
1862,10.785,55.025,698
1863,10.875,55.025,699
1864,10.965,55.025,700
1865,11.055,55.025,701
1866,11.145,55.025,702
1867,11.235,55.025,703
1868,11.325,55.025,704
1869,11.415,55.025,705
1870,11.504999999999999,55.025,706
1871,11.594999999999999,55.025,707
1872,11.684999999999999,55.025,708
1873,11.774999999999999,55.025,709
1874,11.865,55.025,710
1875,11.955,55.025,711
1877,12.135,55.025,712
1878,12.225,55.025,713
1880,12.405000000000001,55.025,714
1881,12.495000000000001,55.025,715
1882,12.585,55.025,716
1883,12.675,55.025,717
1884,12.765,55.025,718
1885,12.855,55.025,719
1886,12.945,55.025,720
1887,13.035,55.025,721
1888,13.125,55.025,722
1889,13.215,55.025,723
1890,13.305,55.025,724
1891,13.395,55.025,725
1892,13.485,55.025,726
1893,13.575,55.025,727
1894,13.665,55.025,728
1895,13.754999999999999,55.025,729
1896,13.844999999999999,55.025,730
1897,13.934999999999999,55.025,731
1898,14.024999999999999,55.025,732
1899,14.114999999999998,55.025,733
1900,14.205,55.025,734
1901,14.295,55.025,735
1902,14.385,55.025,736
1903,14.475,55.025,737
1904,14.565,55.025,738
1905,14.655,55.025,739
1906,14.745000000000001,55.025,740
1907,14.835,55.025,741
1908,14.925,55.025,742
1909,7.545,55.115,743
1910,7.635,55.115,744
1911,7.725,55.115,745
1912,7.815,55.115,746
1913,7.905,55.115,747
1914,7.995,55.115,748
1915,8.085,55.115,749
1916,8.175,55.115,750
1917,8.265,55.115,751
1920,8.535,55.115,752
1931,9.525,55.115,753
1932,9.615,55.115,754
1933,9.705,55.115,755
1934,9.795,55.115,756
1935,9.885,55.115,757
1936,9.975,55.115,758
1937,10.065,55.115,759
1938,10.155,55.115,760
1939,10.245000000000001,55.115,761
1940,10.335,55.115,762
1941,10.425,55.115,763
1942,10.515,55.115,764
1943,10.605,55.115,765
1944,10.695,55.115,766
1945,10.785,55.115,767
1946,10.875,55.115,768
1947,10.965,55.115,769
1948,11.055,55.115,770
1949,11.145,55.115,771
1950,11.235,55.115,772
1951,11.325,55.115,773
1952,11.415,55.115,774
1953,11.504999999999999,55.115,775
1954,11.594999999999999,55.115,776
1960,12.135,55.115,777
1961,12.225,55.115,778
1962,12.315,55.115,779
1963,12.405000000000001,55.115,780
1964,12.495000000000001,55.115,781
1965,12.585,55.115,782
1966,12.675,55.115,783
1967,12.765,55.115,784
1968,12.855,55.115,785
1969,12.945,55.115,786
1970,13.035,55.115,787
1971,13.125,55.115,788
1972,13.215,55.115,789
1973,13.305,55.115,790
1974,13.395,55.115,791
1975,13.485,55.115,792
1976,13.575,55.115,793
1977,13.665,55.115,794
1978,13.754999999999999,55.115,795
1979,13.844999999999999,55.115,796
1980,13.934999999999999,55.115,797
1981,14.024999999999999,55.115,798
1982,14.114999999999998,55.115,799
1983,14.205,55.115,800
1984,14.295,55.115,801
1985,14.385,55.115,802
1986,14.475,55.115,803
1987,14.565,55.115,804
1988,14.655,55.115,805
1989,14.745000000000001,55.115,806
1992,7.545,55.205,807
1993,7.635,55.205,808
1994,7.725,55.205,809
1995,7.815,55.205,810
1996,7.905,55.205,811
1997,7.995,55.205,812
1998,8.085,55.205,813
1999,8.175,55.205,814
2000,8.265,55.205,815
2011,9.254999999999999,55.205,816
2012,9.345,55.205,817
2013,9.435,55.205,818
2014,9.525,55.205,819
2015,9.615,55.205,820
2016,9.705,55.205,821
2017,9.795,55.205,822
2018,9.885,55.205,823
2029,10.875,55.205,824
2030,10.965,55.205,825
2031,11.055,55.205,826
2032,11.145,55.205,827
2033,11.235,55.205,828
2034,11.325,55.205,829
2037,11.594999999999999,55.205,830
2038,11.684999999999999,55.205,831
2039,11.774999999999999,55.205,832
2043,12.135,55.205,833
2044,12.225,55.205,834
2045,12.315,55.205,835
2046,12.405000000000001,55.205,836
2047,12.495000000000001,55.205,837
2048,12.585,55.205,838
2049,12.675,55.205,839
2050,12.765,55.205,840
2051,12.855,55.205,841
2052,12.945,55.205,842
2053,13.035,55.205,843
2054,13.125,55.205,844
2055,13.215,55.205,845
2056,13.305,55.205,846
2057,13.395,55.205,847
2058,13.485,55.205,848
2059,13.575,55.205,849
2060,13.665,55.205,850
2061,13.754999999999999,55.205,851
2062,13.844999999999999,55.205,852
2063,13.934999999999999,55.205,853
2064,14.024999999999999,55.205,854
2065,14.114999999999998,55.205,855
2066,14.205,55.205,856
2067,14.295,55.205,857
2068,14.385,55.205,858
2069,14.475,55.205,859
2070,14.565,55.205,860
2071,14.655,55.205,861
2072,14.745000000000001,55.205,862
2073,14.835,55.205,863
2074,14.925,55.205,864
2075,7.545,55.295,865
2076,7.635,55.295,866
2077,7.725,55.295,867
2078,7.815,55.295,868
2079,7.905,55.295,869
2080,7.995,55.295,870
2081,8.085,55.295,871
2082,8.175,55.295,872
2083,8.265,55.295,873
2094,9.254999999999999,55.295,874
2095,9.345,55.295,875
2096,9.435,55.295,876
2097,9.525,55.295,877
2098,9.615,55.295,878
2099,9.705,55.295,879
2100,9.795,55.295,880
2101,9.885,55.295,881
2111,10.785,55.295,882
2112,10.875,55.295,883
2113,10.965,55.295,884
2114,11.055,55.295,885
2115,11.145,55.295,886
2116,11.235,55.295,887
2126,12.135,55.295,888
2127,12.225,55.295,889
2128,12.315,55.295,890
2129,12.405000000000001,55.295,891
2130,12.495000000000001,55.295,892
2131,12.585,55.295,893
2132,12.675,55.295,894
2133,12.765,55.295,895
2134,12.855,55.295,896
2135,12.945,55.295,897
2136,13.035,55.295,898
2137,13.125,55.295,899
2138,13.215,55.295,900
2139,13.305,55.295,901
2140,13.395,55.295,902
2141,13.485,55.295,903
2142,13.575,55.295,904
2143,13.665,55.295,905
2144,13.754999999999999,55.295,906
2145,13.844999999999999,55.295,907
2146,13.934999999999999,55.295,908
2147,14.024999999999999,55.295,909
2148,14.114999999999998,55.295,910
2149,14.205,55.295,911
2150,14.295,55.295,912
2151,14.385,55.295,913
2152,14.475,55.295,914
2153,14.565,55.295,915
2154,14.655,55.295,916
2155,14.745000000000001,55.295,917
2156,14.835,55.295,918
2157,14.925,55.295,919
2158,7.545,55.385,920
2159,7.635,55.385,921
2160,7.725,55.385,922
2161,7.815,55.385,923
2162,7.905,55.385,924
2163,7.995,55.385,925
2164,8.085,55.385,926
2165,8.175,55.385,927
2166,8.265,55.385,928
2177,9.254999999999999,55.385,929
2178,9.345,55.385,930
2179,9.435,55.385,931
2180,9.525,55.385,932
2181,9.615,55.385,933
2182,9.705,55.385,934
2183,9.795,55.385,935
2189,10.335,55.385,936
2190,10.425,55.385,937
2194,10.785,55.385,938
2195,10.875,55.385,939
2196,10.965,55.385,940
2197,11.055,55.385,941
2198,11.145,55.385,942
2209,12.135,55.385,943
2210,12.225,55.385,944
2211,12.315,55.385,945
2212,12.405000000000001,55.385,946
2213,12.495000000000001,55.385,947
2214,12.585,55.385,948
2215,12.675,55.385,949
2216,12.765,55.385,950
2217,12.855,55.385,951
2218,12.945,55.385,952
2219,13.035,55.385,953
2220,13.125,55.385,954
2221,13.215,55.385,955
2222,13.305,55.385,956
2223,13.395,55.385,957
2224,13.485,55.385,958
2225,13.575,55.385,959
2226,13.665,55.385,960
2227,13.754999999999999,55.385,961
2228,13.844999999999999,55.385,962
2229,13.934999999999999,55.385,963
2230,14.024999999999999,55.385,964
2231,14.114999999999998,55.385,965
2232,14.205,55.385,966
2233,14.295,55.385,967
2234,14.385,55.385,968
2235,14.475,55.385,969
2236,14.565,55.385,970
2237,14.655,55.385,971
2238,14.745000000000001,55.385,972
2239,14.835,55.385,973
2240,14.925,55.385,974
2241,7.545,55.475,975
2242,7.635,55.475,976
2243,7.725,55.475,977
2244,7.815,55.475,978
2245,7.905,55.475,979
2246,7.995,55.475,980
2247,8.085,55.475,981
2248,8.175,55.475,982
2249,8.265,55.475,983
2250,8.355,55.475,984
2251,8.445,55.475,985
2259,9.165,55.475,986
2260,9.254999999999999,55.475,987
2261,9.345,55.475,988
2262,9.435,55.475,989
2263,9.525,55.475,990
2264,9.615,55.475,991
2265,9.705,55.475,992
2266,9.795,55.475,993
2272,10.335,55.475,994
2273,10.425,55.475,995
2274,10.515,55.475,996
2275,10.605,55.475,997
2276,10.695,55.475,998
